"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"J1682,""PAD_6"",""153mm"",""68.823mm"",""153mm"",""68.823mm"",""153mm"",""68.823mm"",""T"",""90.00"",""PIN"""
"J1681,""PAD_6"",""151mm"",""134.641mm"",""151mm"",""134.641mm"",""151mm"",""134.641mm"",""T"",""90.00"",""PIN"""
"J1680,""PAD_6"",""150mm"",""132.909mm"",""150mm"",""132.909mm"",""150mm"",""132.909mm"",""T"",""90.00"",""PIN"""
"J1679,""PAD_6"",""151mm"",""131.177mm"",""151mm"",""131.177mm"",""151mm"",""131.177mm"",""T"",""90.00"",""PIN"""
"J1678,""PAD_6"",""150mm"",""129.445mm"",""150mm"",""129.445mm"",""150mm"",""129.445mm"",""T"",""90.00"",""PIN"""
"J1677,""PAD_6"",""151mm"",""124.249mm"",""151mm"",""124.249mm"",""151mm"",""124.249mm"",""T"",""90.00"",""PIN"""
"J1676,""PAD_6"",""150mm"",""122.517mm"",""150mm"",""122.517mm"",""150mm"",""122.517mm"",""T"",""90.00"",""PIN"""
"J1675,""PAD_6"",""150mm"",""119.053mm"",""150mm"",""119.053mm"",""150mm"",""119.053mm"",""T"",""90.00"",""PIN"""
"J1674,""PAD_6"",""151mm"",""113.856mm"",""151mm"",""113.856mm"",""151mm"",""113.856mm"",""T"",""90.00"",""PIN"""
"J1673,""PAD_6"",""151mm"",""106.928mm"",""151mm"",""106.928mm"",""151mm"",""106.928mm"",""T"",""90.00"",""PIN"""
"J1672,""PAD_6"",""150mm"",""101.732mm"",""150mm"",""101.732mm"",""150mm"",""101.732mm"",""T"",""90.00"",""PIN"""
"J1671,""PAD_6"",""151mm"",""100mm"",""151mm"",""100mm"",""151mm"",""100mm"",""T"",""90.00"",""PIN"""
"J1670,""PAD_6"",""150mm"",""98.268mm"",""150mm"",""98.268mm"",""150mm"",""98.268mm"",""T"",""90.00"",""PIN"""
"J1669,""PAD_6"",""150mm"",""94.804mm"",""150mm"",""94.804mm"",""150mm"",""94.804mm"",""T"",""90.00"",""PIN"""
"J1668,""PAD_6"",""151mm"",""89.608mm"",""151mm"",""89.608mm"",""151mm"",""89.608mm"",""T"",""90.00"",""PIN"""
