       x [mm]         y [mm]         z [mm]     KxRe [A/m]     KyRe [A/m]     KzRe [A/m]     KxIm [A/m]     KyIm [A/m]     KzIm [A/m]    Area [mm^2]  
     -1.23333       -1.15473           -0.2    -0.00149262   -0.000707774              0     0.00149617   -0.000544677             -0       0.129908
    -0.666667      -0.577367           -0.2    -0.00155503    -0.00042395              0     0.00267959   -0.000171297             -0        0.34642
    -0.866667       -1.15473           -0.2     -0.0014486   -0.000580184              0     0.00189013   -0.000448001             -0        0.34642
     0.133333      -0.577367           -0.2    -0.00154629    0.000157871              0     0.00264083    0.000188042              0        0.34642
 -1.4803e-016       -1.15473           -0.2    -0.00118015  -3.63798e-011              0      0.0026199  -6.54836e-011             -0        0.34642
     0.666667      -0.288683           -0.2    -0.00159926    0.000384039              0     0.00280962     7.475e-005              0        0.34642
     0.933333      -0.577367           -0.2    -0.00158584    0.000581151              0     0.00240382    0.000292313              0        0.34642
      1.56667       0.288683           -0.2    -0.00198647    0.000416018             -0     0.00226406   -0.000223254             -0        0.34642
      1.56667      -0.288683           -0.2    -0.00178142     0.00059322             -0     0.00202141    0.000168519             -0        0.34642
      1.83333       0.288683      -0.133333   -0.000945935     0.00163845    -0.00214529    0.000570805   -0.000988692    0.000144135       0.100002
      1.83333      -0.288683     -0.0666667     0.00127879     0.00221499    -0.00225687     0.00043617     0.00075549  -5.44117e-005       0.100002
      1.56667       0.288683              0     0.00307062    0.000318218             -0      0.0017946   -0.000111473              0        0.34642
      1.56667      -0.288683              0     0.00316843    0.000371215             -0     0.00202382   9.15241e-005              0        0.34642
     0.666667       0.288683              0     0.00333513    0.000206539             -0     0.00243611  -5.25757e-005              0        0.34642
     0.933333      -0.288683              0     0.00332553    0.000315453             -0     0.00247495   9.77343e-005              0        0.34642
     0.133333       0.577367              0     0.00333613   4.91296e-005              0     0.00237864  -1.54167e-006              0        0.34642
    -0.133333       0.288683              0     0.00336127  -3.55355e-005              0     0.00251826   4.75448e-005              0        0.34642
    -0.466667        1.44342              0     0.00297497  -8.39729e-005              0     0.00171146    0.000137029              0       0.433025
